場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述,第1近AED距離_公尺,第2近AED距離_公尺,第3近AED距離_公尺,最近急救醫院,至最近醫院距離_公尺,預估送醫車程_分鐘
玉泉公園游泳池,西寧北路28號B1,63000060,25.0501111,121.5074685,其他,其他場所,玉泉公園游泳池大廳,玉泉公園游泳池大廳,126.6,144.5,169.3,臺北市立聯合醫院(中興院區),237.7,0.5
Circus Corner,承德路二段67號1樓,63000060,25.055749,121.518345,學校、大型集會場所,健身中心,台北市大同區承德路二段67號1樓,運動中心,151.8,241.4,241.4,馬偕紀念醫院(台北院區),480.8,1.0
第一商業銀行大稻埕分行,迪化街一段63號,63000060,25.0557807,121.5101501,其他,其他場所,一樓大廳進入後右側,一樓大廳進入後右側,109.5,109.5,109.5,臺北市立聯合醫院(中興院區),553.6,1.1
臺北捷運北門站G13,塔城街10號,63000060,25.049425,121.510243,交通要衝,捷運站,北門站大廳層,北側大廳付費區詢問處對面,118.9,176.9,221.8,臺北市立聯合醫院(中興院區),161.9,0.3
臺北捷運中山站G14,南京西路55號,63000060,25.052654,121.520331,交通要衝,捷運站,綠線中山站大廳層,西側大廳付費區詢問處旁,62.4,130.5,167.8,馬偕紀念醫院(台北院區),653.2,1.3
臺北捷運民權西路站O11,民權西路72號,63000060,25.062724,121.519531,交通要衝,捷運站,臺北捷運民權西路站O11主詢問處附近,中和新蘆線車站大廳，近7、8、9、10號出口,12.4,107.0,178.5,馬偕紀念醫院(台北院區),559.1,1.1
臺北捷運大橋頭站O12,民權西路223號,63000060,25.063176,121.513109,交通要衝,捷運站,臺北捷運大橋頭站O12主詢問處附近,車站大廳主詢問處旁，近1號出口,100.6,103.2,109.3,馬偕紀念醫院(台北院區),1064.4,2.1
臺北捷運雙連站R12,民生西路47號,63000060,25.057779,121.520661,交通要衝,捷運站,捷運淡水信義線雙連站B1大廳層南非付費區通道,捷運淡水信義線雙連站B1大廳層南非付費區通道,200.3,324.3,437.3,馬偕紀念醫院(台北院區),165.7,0.3
臺北捷運民權西路站R13,民權西路72號R13,63000060,25.062612,121.519528,交通要衝,捷運站,捷運淡水信義線民權西路站1F大廳層C016儲藏室旁(付費區),捷運淡水信義線民權西路站1F大廳層C016儲藏室旁(付費區),12.4,114.6,188.8,馬偕紀念醫院(台北院區),548.5,1.1
臺北捷運圓山站R14,酒泉街9之1號,63000060,25.071353,121.520118,交通要衝,捷運站,捷運淡水信義線圓山站1號出口女廁旁(付費區),捷運淡水信義線圓山站1號出口女廁旁(付費區),200.5,239.5,402.7,馬偕紀念醫院(台北院區),1461.0,2.9
臺北市立建成國民中學,長安西路37之1號,63000060,25.051648,121.518626,學校、大型集會場所,國中,建成國中警衛室,門口警衛室內,58.5,108.1,114.2,馬偕紀念醫院(台北院區),820.3,1.6
好團健身空間,承德路三段244號一樓,63000060,25.0731552,121.5188064,其他,其他場所,飲水機上方,好團健身空間,215.1,215.2,239.5,馬偕紀念醫院(台北院區),1680.7,3.4
