場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點,AED地點描述
象山步道代天殿靈雲宮,信義路五段150巷22弄43號,63000020,25.0275872,121.5711121,其他,其他場所,代天殿靈雲宮,主殿右側建築
台北市政府松德辦公大樓,松德路300號,63000020,25.0320284,121.5743011,其他,其他場所,3樓大地工程處,大地工程處森林遊憩科辦公室
台北市政府松德辦公大樓,松德路300號,63000020,25.0320284,121.5743011,其他,其他場所,3樓大地工程處,大地工程處森林遊憩科辦公室
宜家家居股份有限公司台北城市店小巨蛋分公司,敦化北路100號B1、B2,63000010,25.052651,121.548262,大型購物場所,商場,IKEA B2入口,IKEA B2入口右手邊牆面
宜家家居股份有限公司台北城市店小巨蛋分公司,敦化北路100號B1、B2,63000010,25.052651,121.548262,大型購物場所,商場,IKEA B1顧客服務區,客服櫃檯正對面，B1客梯口旁
北興宮步道之北興宮,成福路272號,63000090,25.037736,121.590396,其他,其他場所,南港區北興宮步道之北興宮,北興宮正門口供桌左手邊
內溝溪生態展示館,康樂街236之3號,63000100,25.087244,121.622896,其他,其他場所,1樓大門入口右側,明舉山親山步道
米鈦工作室,林森北路100號8樓之6,63000040,25.0506452,121.5248543,其他,其他場所,進門左手邊櫃子,進門左手邊櫃子
臺北市中山區五常國民小學,五常街16號,63000040,25.064084,121.541528,其他,其他場所,川堂至健康中心之走廊上,川堂至健康中心之走廊上
香港商世界健身事業有限公司民生圓環分公司,民生東路五段196號B1,63000010,25.058566,121.5644021,學校、大型集會場所,健身房,客服櫃台前方,香港商世界健身事業有限公司民生圓環分公司(105064 台北市松山區民生東路五段196號B1)
微風廣場實業股份有限公司,復興南路一段39號,63000010,25.045943,121.545251,大型購物場所,百貨業,1樓服務台旁,AED放置於1樓服務台旁
黑松股份有限公司,信義路四段296號3樓,63000030,25.033016,121.554463,其他,其他場所,台北市大安區信義路四段296號5樓,5樓會議室。
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58209,第33排ABC行李艙
臺北市立南港高級工業職業學校,興中路29號,63000090,25.056498,121.607859,學校、大型集會場所,高中職,宿舍一樓管理室旁,宿舍一樓管理室旁
臺北市立木柵國民中學,木柵路3段102巷12號,63000080,24.987413,121.567643,學校、大型集會場所,國中,木柵國中警衛室門口外牆,木柵國中警衛室門口外牆
瀚宇彩晶內湖總部,行善路168巷15號,63000100,25.05885107,121.5787424,其他,其他場所,瀚宇彩晶內湖總部5樓公共區域,大樓1樓及5樓公共區域
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,醫務室外傷處理室,醫務室外傷處理室
臺北市政府社會局老人自費安養中心,興隆路4段109巷30弄6號,63000080,24.986284,121.562475,其他,其他場所,松柏1樓服務台前,松柏1樓服務台前
臺北市新生老人日間照顧中心,新生南路三段52-5號5樓,63000030,25.021147,121.533915,其他,其他場所,第三小家教室櫃子,第三小家教室櫃子
第一商業銀行大稻埕分行,迪化街一段63號,63000060,25.0557807,121.5101501,其他,其他場所,一樓大廳進入後右側,一樓大廳進入後右側
窩WoFITNESS,羅斯福路三段79號,63000030,25.022751,121.52619,學校、大型集會場所,健身中心,本館地下一樓,窩ＷoFITNESS地下一樓咖啡機後方
星宇航空股份有限公司,忠孝東路四段525號11樓,63000020,25.04216558,121.5615707,長距離交通工具,航空器,星宇客機B-58504,行李艙
